PC,Explained_Variance_Ratio,Cumulative
PC1,0.27256894219280303,0.27256894219280303
PC2,0.13569686445477178,0.40826580664757484
PC3,0.11699488716859481,0.5252606938161697
PC4,0.08840248426699489,0.6136631780831646
PC5,0.07606626243867104,0.6897294405218357
PC6,0.05109238072320786,0.7408218212450436
PC7,0.0439227059095613,0.7847445271546049
PC8,0.04149374256448473,0.8262382697190895
PC9,0.03672157391402827,0.8629598436331178
PC10,0.030063404763606028,0.8930232483967239
