,PCEPILFE_YoY,PCEPILFE_MoM,UNRATE,NROU,USREC,ZLB_dummy,COVID_dummy,GDPC1,GDPPOT,INDPRO,RSAFS,MCOILWTICO,IR,OPHNFB,CES0500000003,CIVPART,JTSJOL,FEDFUNDS,M2SL,WALCL,T5YIE,T10YIE,PX_MD,PX5_MD,kmeans_k,kmeans_label,hclust_k,hclust_label,kmeans_k_sub,kmeans_label_sub,hclust_k_sub,hclust_label_sub
2008-01-01,2.1930442128977656,2.388403129314387,5.0,4.968069789655751,1.0,0,0,-0.0708843365447819,2.4224173693196867,-1.4912531141103802,2.615605793179565,70.55586130985141,13.63236587510992,-0.254073051625983,1.701323251417719,66.2,20.85808580858073,3.94,5.387349349295878,3.895368940292743,2.1228571428571428,2.2752380952380955,3.4,3.0,12,9,11,0,3,0,2,0
2008-02-01,2.072405395279131,1.1711618614584474,4.9,4.964320429979802,1.0,0,0,-1.033765338961846,2.420120237392042,-4.390044767805579,-10.5899261775658,60.914304993252365,13.496932515337434,-1.5298944550635447,4.5304388862668965,66.0,-89.53287197231829,2.98,13.79126872223262,1.669145838738495,2.131,2.3325,3.6,3.0,12,5,11,0,3,0,2,0
2008-03-01,2.169742905934924,2.353804859024056,5.1,5.017429226,1.0,0,0,-1.7070572835979014,2.006785870141403,-3.829601594095245,3.42079390101242,74.47054930509597,15.185504745470224,-2.635809154648605,4.513399153737652,66.1,-15.143725169432054,2.61,10.431077562399691,2.5018403717536497,2.256,2.419,4.3,2.9,12,5,11,0,3,0,2,0
2008-04-01,2.08372266866006,0.7006376718681651,5.0,4.9570672966319735,1.0,0,0,0.090678129480533,2.415679716807801,-8.225464954441009,-1.1435957542365038,75.96123788683964,16.85106382978725,0.2067314688258918,1.686182669789016,65.9,-53.964497041420096,2.28,6.649022854386377,2.2273357701163565,2.225909090909091,2.3127272727272725,4.8,3.2,12,5,11,0,3,0,2,0
2008-05-01,2.148931950488242,2.1830663615560297,5.4,4.9534426531057685,1.0,0,0,1.6427521752579264,2.4134621982480606,-7.405657662020992,11.312003859479969,97.60479041916167,19.05564924114671,2.619848058763504,5.051449953227394,66.1,47.28624535315981,1.98,1.9759361062130945,2.0180701625711395,2.3604761904761906,2.42,5.2,3.4,12,5,11,0,3,0,2,0
2008-06-01,2.2140952025996308,2.7547139642985385,5.6,5.017657154,1.0,0,0,2.381713047251744,1.9632960782804965,-3.1254244329576686,2.1865283567092497,98.37012890798636,21.249999999999996,4.691462868815766,2.794597112249697,66.1,-104.1487839771102,2.0,2.9046663646366437,3.248215783208974,2.516190476190476,2.470952380952381,5.1,3.4,12,5,11,0,3,0,2,0
2008-07-01,2.244499232451047,2.160437556973616,5.8,4.946076748646596,1.0,0,0,1.91098432526266,2.408958884677702,-5.447729511939237,-4.332576180589109,79.93793847814355,21.399176954732503,4.461941906197435,5.018587360594662,66.1,-25.37859007832899,2.01,7.32935616332222,4.052734217979426,2.462727272727273,2.4386363636363635,5.1,3.2,12,5,11,0,3,0,2,0
2008-08-01,2.217938594453983,1.4741008667166433,6.1,4.942335683968113,1.0,0,0,0.0061959647753873,2.406673215316748,-18.95364486206908,-9.73791737623575,61.235489220563856,18.08422791081752,3.0834287941827334,4.9976862563627655,66.1,-24.006401707121896,2.0,2.248604248219266,4.494063247109925,1.993809523809524,2.2095238095238097,4.8,3.2,12,5,11,0,3,0,2,0
2008-09-01,2.0439832775532407,1.2269102310681568,6.1,5.0174705610000006,1.0,0,0,-2.101032202067543,1.8959300975054385,-52.63001908040046,-18.496424957008983,30.26776776776776,13.13628899835797,0.9709729012352676,1.6589861751153734,66.0,-147.63200870985304,1.81,10.238147090096028,14.872797432336249,1.3309523809523809,1.8361904761904764,4.3,3.0,12,5,11,0,3,0,2,0
2008-10-01,1.6344021437811884,-1.7023015116437443,6.5,4.934978945019392,1.0,0,0,-5.146890000014057,2.4021813181168628,12.06828734383958,-42.96709388257649,-10.710955710955703,4.854368932038833,-1.025140471167271,1.6566958122410824,66.0,57.72811918063319,0.97,15.638853252378482,96.78035165477029,-0.0277272727272727,1.0618181818181818,3.9,2.9,12,10,11,9,3,1,2,1
